"","Despacho","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","cluster"
"3735199",0,0,0,1,0,0.05,2
"3736462",0,0,0,1,0,0,2
"3739294",0,0,0,1,0,0.04,2
"3741534",0,1,0,0,0,0,3
"3744093",0,0,0,1,0,0,2
"3750885",0,0,0,1,0,0,2
"3751270",0,0,0,0,1,0,1
"3753820",0,0,0.94,0,0.06,0.05,5
"3755140",0,0,1,0,0,0,5
"3758890",0,0.31,0,0.69,0,0.03,2
"3761759",0,0,1,0,0,0.08,5
"3763749",0,0.01,0.93,0.06,0,0.05,5
"3772292",0,0,0,1,0,0,2
"3779357",0,0,0.9,0,0.1,0.09,5
"3782867",0,0.46,0.46,0.06,0.02,0.05,5
"3787760",0,0,0,0.99,0.01,0.04,2
"3790757",0,0,0.93,0,0.07,0.11,5
"3791812",0,0.75,0,0.25,0,0.05,3
"3794504",0,0,0,1,0,0.08,4
"3797034",0,0,0,0,1,0,1
"3805148",0,0,0.48,0.49,0.02,0.04,5
"3810094",0,0.04,0,0.92,0.03,0.02,2
"3812436",0,0,0,1,0,0,2
"3813247",0,0.14,0,0.73,0.13,0.12,4
"3814788",0,0,0,1,0,0,2
"3815275",0,0,0.98,0,0.02,0.13,5
"3815652",0,0,0.92,0,0.08,0.09,5
"3815758",0,0,0,1,0,0,2
"3816363",0,1,0,0,0,0,3
"3816663",0,0,0,0.57,0.43,0,2
"3818305",0,0.18,0.23,0.58,0.01,0.14,4
"3818893",0,0.43,0.4,0.08,0.09,0.01,5
"3821215",0,0.13,0,0.22,0.66,0.01,1
"3821421",0,0.3,0,0.49,0.21,0.02,2
"3822175",0,0,0,1,0,0.02,2
"3822222",0,0,0,0.62,0.38,0.08,4
"3822915",0,0,0,0,1,0,1
"3823937",0,0,0,0,1,0,1
"3824575",0,0,0,0,1,0,1
"3826420",0,0,0.88,0,0.12,0.09,5
"3827653",0,0,0,1,0,0.1,4
"3830248",0,0,0,1,0,0.2,4
"3834164",0,0,0,1,0,0.04,2
"3836596",0,0,0,0,1,0,1
"3850006",0,0,0,0,1,0,1
"3850014",0,0,0.25,0.75,0,0.13,4
"3852160",0,0,0,1,0,0,2
"3854572",0,0,0,1,0,0,2
"3856857",0,0,0,1,0,0.05,2
"3857296",0,0.13,0.6,0.27,0,0.03,5
"3857995",0,0,0,1,0,0.08,4
"3858312",0,0,0.78,0,0.22,0.11,5
"3858560",0,0,0,1,0,0.05,2
"3860028",0,0,1,0,0,0.06,5
"3862290",0,0,0.94,0,0.06,0.11,5
"3864270",0,0,1,0,0,0.13,5
"3865169",0,0,0,0,1,0,1
"3865192",0,0,1,0,0,0.04,5
"3870217",0,0,1,0,0,0.07,5
"3872110",0,0,0,1,0,0,2
"3872192",0,0,0,1,0,0.1,4
"3873476",0,1,0,0,0,0,3
"3875020",0,0.86,0,0.14,0,0.04,3
"3875054",0,1,0,0,0,0,3
"3880918",0,0,0.46,0.54,0,0.08,5
"3881208",0,0,1,0,0,0.1,5
"3881968",0,0.12,0,0.88,0,0.14,4
"3882393",0,0,0.57,0.14,0.29,0.06,5
"3882929",0,0,0,1,0,0.1,4
"3885701",0,0.12,0.27,0.59,0.01,0.06,4
"3888262",0,0,1,0,0,0.12,5
"3904281",0,0,0,1,0,0,2
"3906002",0,0,0,0,1,0,1
"3909143",0,0,0,1,0,0.02,2
"3910347",0,1,0,0,0,0.1,3
"3913220",0,0,0,1,0,0,2
"3916936",0,0.16,0,0.84,0,0,2
"3918988",0,1,0,0,0,0.21,3
