"","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","Frecuencia","$ Venta.y","Recencia","cluster"
"3592979",0,0,1,0,0.01,1,63872,700,2
"3596353",1,0,0,0,0,1,32437,1019,3
"3596910",0,0,1,0,0,1,16050,595,2
"3599802",0,0,1,0,0.17,2,115776,27,2
"3608404",0,0,1,0,0,1,2017,735,2
"3609301",0,0,1,0,0,1,56563,984,5
"3611018",0,0,0,1,0,6,98659,56,1
"3614702",1,0,0,0,0.07,35,855996,117,3
"3615984",0,0,0,1,0,3,37480,259,1
"3617149",0,1,0,0,0.23,1,756180,775,4
"3618971",0,0.82,0,0.18,0.15,3,80306,242,4
"3654766",0,0,1,0,0.1,1,35871,824,5
"3657609",0.18,0,0.82,0,0.04,9,321098,516,2
"3659346",0,0,1,0,0,1,170807,96,2
"3662702",0,0,1,0,0,1,36832,159,2
"3666208",0,0.49,0.51,0,0.11,10,572711,892,5
"3669356",0,0,1,0,0,5,118069,602,2
"3670514",1,0,0,0,0,1,52807,35,3
"3675618",0,0,1,0,0.18,10,222116,756,5
"3678865",0,0.71,0.12,0.17,0.03,23,593948,140,4
"3680994",0.34,0,0.66,0,0,4,272278,405,2
"3685124",0,0,1,0,0.1,1,27363,903,5
"3690743",0,0,1,0,0.07,2,76654,731,5
"3693860",0,0.7,0.3,0,0.04,5,309789,595,4
"3697437",0.02,0.51,0.47,0,0.05,13,2793847,90,4
"3697573",0,0,1,0,0.12,1,24581,950,5
"3701279",0,0.88,0,0.12,0.05,29,1705356,317,4
"3703508",0,0.32,0.66,0.03,0.06,12,311955,137,2
"3706826",0,0,1,0,0.09,6,66710,137,2
"3708535",0,0.37,0.63,0,0.05,2,155002,803,5
"3710315",0,0,1,0,0,1,84025,263,2
"3710942",1,0,0,0,0,1,39487,347,3
"3714887",0,1,0,0,0.04,1,150034,650,4
"3716558",0,0.89,0,0.11,0.04,2,39857,629,4
"3718314",0,0,1,0,0.1,13,636136,115,2
"3721488",0,1,0,0,0.14,1,85034,437,4
"3724953",0.02,0.46,0.51,0,0.09,10,2642683,159,2
"3728332",1,0,0,0,0,1,26849,968,3
"3731849",0,0.56,0.44,0,0.07,11,629136,381,4
"3735199",0,0,1,0,0.05,1,53735,954,5
"3736462",0,0,1,0,0,1,50404,886,5
"3739294",0,0,1,0,0.04,3,97906,61,2
"3741534",1,0,0,0,0,1,32765,321,3
"3744093",0,0,1,0,0,1,30204,894,5
"3750885",0,0,1,0,0,2,4429,857,5
"3751270",0,0,0,1,0,1,3782,984,1
"3753820",0,0.94,0,0.06,0.05,22,1697543,118,4
"3755140",0,1,0,0,0,1,8522,973,4
"3758890",0.31,0,0.69,0,0.03,3,146369,754,5
"3761759",0,1,0,0,0.08,1,548892,104,4
"3763749",0.01,0.93,0.06,0,0.05,9,2110156,241,4
"3772292",0,0,1,0,0,1,60412,522,2
"3779357",0,0.9,0,0.1,0.09,4,190144,770,4
"3782867",0.46,0.46,0.06,0.02,0.05,80,4830331,76,3
"3787760",0,0,0.99,0.01,0.04,7,1956273,26,2
"3790757",0,0.93,0,0.07,0.11,2,177116,794,4
"3791812",0.75,0,0.25,0,0.05,6,317564,280,3
"3794504",0,0,1,0,0.08,1,36653,959,5
"3797034",0,0,0,1,0,3,18320,27,1
"3805148",0,0.48,0.49,0.02,0.04,12,1122407,599,4
"3810094",0.04,0,0.92,0.03,0.02,51,2153958,84,2
"3812436",0,0,1,0,0,2,36756,207,2
"3813247",0.14,0,0.73,0.13,0.12,9,283640,641,5
"3814788",0,0,1,0,0,1,18706,998,5
"3815275",0,0.98,0,0.02,0.13,3,905300,976,4
"3815652",0,0.92,0,0.08,0.09,3,304508,286,4
"3815758",0,0,1,0,0,1,47050,634,2
"3816363",1,0,0,0,0,1,11336,681,3
"3816663",0,0,0.57,0.43,0,3,38404,200,2
"3818305",0.18,0.23,0.58,0.01,0.14,74,4382935,542,5
"3818893",0.43,0.4,0.08,0.09,0.01,97,5927750,27,3
"3821215",0.13,0,0.22,0.66,0.01,55,355464,489,1
"3821421",0.3,0,0.49,0.21,0.02,23,160577,346,2
"3822175",0,0,1,0,0.02,2,126885,633,2
"3822222",0,0,0.62,0.38,0.08,3,47045,454,2
"3822915",0,0,0,1,0,3,44118,784,1
"3823937",0,0,0,1,0,1,8403,607,1
"3824575",0,0,0,1,0,3,75630,35,1
"3826420",0,0.88,0,0.12,0.09,4,186370,824,4
"3827653",0,0,1,0,0.1,1,151367,1019,5
"3830248",0,0,1,0,0.2,8,1212806,216,5
"3834164",0,0,1,0,0.04,2,10150,629,2
"3836596",0,0,0,1,0,1,11765,1006,1
"3850006",0,0,0,1,0,9,39412,669,1
"3850014",0,0.25,0.75,0,0.13,9,417335,594,5
"3852160",0,0,1,0,0,1,25202,763,2
"3854572",0,0,1,0,0,1,252075,322,2
"3856857",0,0,1,0,0.05,1,37521,990,5
"3857296",0.13,0.6,0.27,0,0.03,6,426843,172,4
"3857995",0,0,1,0,0.08,3,43211,608,5
"3858312",0,0.78,0,0.22,0.11,3,27648,220,4
"3858560",0,0,1,0,0.05,2,129058,84,2
"3860028",0,1,0,0,0.06,1,480254,215,4
"3862290",0,0.94,0,0.06,0.11,3,378120,254,4
"3864270",0,1,0,0,0.13,1,144610,819,4
"3865169",0,0,0,1,0,2,11093,893,1
"3865192",0,1,0,0,0.04,1,772824,154,4
"3870217",0,1,0,0,0.07,5,4601132,745,4
"3872110",0,0,1,0,0,1,267867,937,5
"3872192",0,0,1,0,0.1,1,149445,899,5
"3873476",1,0,0,0,0,1,50756,797,3
"3875020",0.86,0,0.14,0,0.04,7,213765,108,3
"3875054",1,0,0,0,0,1,53773,675,3
"3880918",0,0.46,0.54,0,0.08,17,2103260,60,2
"3881208",0,1,0,0,0.1,1,130070,104,4
"3881968",0.12,0,0.88,0,0.14,2,583019,237,2
"3882393",0,0.57,0.14,0.29,0.06,192,9499883,196,4
"3882929",0,0,1,0,0.1,1,4342,376,2
"3885701",0.12,0.27,0.59,0.01,0.06,46,1210932,257,2
"3888262",0,1,0,0,0.12,1,56708,703,4
"3904281",0,0,1,0,0,3,91571,754,2
"3906002",0,0,0,1,0,1,12606,234,1
"3909143",0,0,1,0,0.02,10,1375062,272,2
"3910347",1,0,0,0,0.1,2,291949,999,3
"3913220",0,0,1,0,0,3,109092,392,2
"3916936",0.16,0,0.84,0,0,12,522040,230,2
"3918988",1,0,0,0,0.21,3,224859,797,3
"3919538",0.22,0.59,0.1,0.08,0.03,37,1507335,356,4
