"","Frecuencia","$ Margen","$ Venta","Recencia","cluster"
"3810094",51,799953,2153958,84,2
"3812436",2,7230,36756,207,1
"3813247",9,105795,283640,641,3
"3814788",1,11600,18706,998,4
"3815275",3,251316,905300,976,4
"3815652",3,162364,304508,286,1
"3815758",1,7471,47050,634,3
"3816363",1,5021,11336,681,3
"3816663",3,23056,38404,200,1
"3818305",74,1660446,4382935,542,3
"3818893",97,2303575,5927750,27,2
"3821215",55,286867,355464,489,3
"3821421",23,60508,160577,346,1
"3822175",2,43650,126885,633,3
"3822222",3,30057,47045,454,1
"3822915",3,44115,44118,784,4
"3823937",1,8402,8403,607,3
"3824575",3,75630,75630,35,2
"3826420",4,56410,186370,824,4
"3827653",1,74768,151367,1019,4
"3830248",8,421674,1212806,216,1
"3834164",2,5645,10150,629,3
"3836596",1,11764,11765,1006,4
"3850006",9,38919,39412,669,3
"3850014",9,199885,417335,594,3
"3852160",1,4325,25202,763,4
"3854572",1,56832,252075,322,1
"3856857",1,19485,37521,990,4
"3857296",6,151351,426843,172,2
"3857995",3,21054,43211,608,3
"3858312",3,15536,27648,220,1
"3858560",2,33436,129058,84,2
"3860028",1,188430,480254,215,1
"3862290",3,197416,378120,254,1
"3864270",1,38972,144610,819,4
"3865169",2,11092,11093,893,4
"3865192",1,247892,772824,154,2
"3870217",5,1016244,4601132,745,3
"3872110",1,66972,267867,937,4
"3872192",1,45712,149445,899,4
"3873476",1,17242,50756,797,4
"3875020",7,73654,213765,108,2
"3875054",1,13187,53773,675,3
"3880918",17,848768,2103260,60,2
"3881208",1,69010,130070,104,2
"3881968",2,225049,583019,237,1
"3882393",192,4409572,9499883,196,2
"3882929",1,1900,4342,376,1
"3885701",46,444140,1210932,257,1
"3888262",1,22840,56708,703,3
"3904281",3,28046,91571,754,3
"3906002",1,12604,12606,234,1
"3909143",10,480902,1375062,272,1
"3910347",2,44684,291949,999,4
"3913220",3,26799,109092,392,1
"3916936",12,179305,522040,230,1
"3918988",3,59199,224859,797,4
"3919538",37,478981,1507335,356,1
"3919630",91,1450455,1661496,23,2
"3930230",2,24368,25151,887,4
"3930367",4,36812,54857,70,2
"3931918",1,32992,101914,954,4
"3934208",4,41880,76723,924,4
"3934695",3,2917,26925,354,1
"3936097",10,61854,165862,867,4
"3939297",1,1326,2504,969,4
"3942543",1,19389,67647,580,3
"3944623",5,115718,173391,244,1
"3946787",11,217505,836200,355,1
"3948760",2,25658,48896,835,4
"3950477",1,16391,32765,955,4
"3950768",4,179809,332821,931,4
"3951362",2,14455,37786,606,3
"3951930",1,25210,25210,313,1
"3955304",1,282,1672,226,1
"3959593",6,160142,447003,628,3
"3961865",31,304096,627139,25,2
"3966153",14,80417,186440,696,3
"3969343",3,61089,101588,146,2
"3969952",2,17982,69496,968,4
"3971063",24,559486,2204179,292,1
"3975270",11,404767,1166123,315,1
"3984485",13,126191,256200,734,3
"3988074",3,13608,26903,927,4
"3988774",1,608,1044,229,1
"3990254",1,137100,260272,216,1
"3991260",4,80065,145646,867,4
"3992048",1,15545,15546,740,3
"3992189",1,340178,865530,210,1
"3993540",1,9243,9244,793,4
"3996443",1,8402,8404,941,4
"3996567",1,153620,603136,767,4
"3997674",1,13767,43689,686,3
"3998238",46,935551,3441817,25,2
"3998545",1,2571,5630,585,3
"4000604",38,522392,1695555,80,2
"4001220",1,3815,7555,658,3
"4001265",4,29284,31934,227,1
"4001751",23,656211,2309237,33,2
"4002210",1,145592,278020,468,3
"4004024",1,918,1798,710,3
"4005743",1,11658,24050,691,3
"4007131",69,1838485,8667787,25,2
"4007541",29,390792,874145,503,3
"4014559",6,120354,428086,27,2
"4014822",3,20922,47034,203,1
"4020175",105,2481193,7661288,34,2
"4021615",3,46296,158665,916,4
"4025674",13,240937,677462,300,1
"4026117",1,154152,394092,938,4
"4026861",15,250284,550550,404,1
"4027799",3,118190,484740,97,2
"4029072",1,3294,5340,852,4
"4029339",15,444319,1369084,101,2
"4029792",10,105803,213070,721,3
"4030640",5,39464,101200,67,2
"4032059",26,340199,801893,171,2
"4035409",1,10476,14832,660,3
"4035477",2,80001,296285,48,2
"4036296",2,13023,29386,802,4
"4036474",6,172208,539261,389,1
"4044568",1,6532,9991,675,3
"4046819",1,9789,17713,900,4
"4052113",44,4373970,15396284,56,2
"4052233",7,58297,120436,300,1
"4054721",1,32357,65235,831,4
"4055386",7,78750,128550,356,1
"4055478",1,132900,262828,733,3
"4055533",6,87355,174738,619,3
"4056721",2,1640,2840,822,4
"4057520",4,31340,31679,385,1
"4058990",16,46006,111184,458,1
"4059648",1,31092,109160,917,4
"4061907",3,74256,158102,264,1
"4066607",1,27340,121840,506,3
"4066982",2,8217,37135,689,3
"4067328",1,15545,15546,794,4
"4070979",7,230903,754335,798,4
"4072127",1,29280,151228,951,4
"4073940",6,209418,592628,125,2
"4078377",2,3200,9126,789,4
"4079385",189,2409289,8290966,67,2
"4084264",1,6879,24874,749,3
"4085513",9,307835,779889,49,2
"4094704",1,18944,84025,415,1
"4095007",3,46390,97296,732,3
"4095582",6,50536,52606,214,1
"4102901",1,7612,12072,961,4
"4104136",1,11402,50336,979,4
"4106441",11,329977,952283,188,2
"4108182",8,166538,248723,359,1
"4109531",2,24621,24622,577,3
"4111496",1,8402,8403,303,1
"4112937",1,11806,27723,734,3
"4113210",6,19319,33965,562,3
"4114298",1,32845,231570,940,4
"4114513",2,88058,318797,928,4
"4114724",1,17716,62168,546,3
"4116008",109,1951260,4148598,32,2
"4116396",1,36257,76850,602,3
"4117527",2,93001,305522,634,3
"4118689",1,11764,11765,815,4
"4118830",2,27937,119302,132,2
"4118887",12,119701,351040,629,3
"4119560",96,1467304,5214328,40,2
"4124780",4,210538,413736,67,2
"4125777",4,28964,102979,77,2
"4126584",233,2635209,6146350,34,2
"4126863",18,407056,863824,609,3
"4127779",1,9079,30899,616,3
"4128647",3,70184,189403,73,2
"4129149",16,339468,1033597,320,1
"4132070",4,21833,37411,548,3
"4132189",1,28532,92429,317,1
"4132977",11,65994,235722,282,1
"4133497",1,7834,14476,979,4
"4133525",5,13944,49907,188,2
"4134828",1,4368,7564,546,3
"4136936",1,16448,29176,635,3
"4140968",1,168912,431588,54,2
"4142430",1,135208,252084,175,2
"4142438",4,156558,560858,616,3
"4146589",2,10848,11260,648,3
"4146695",3,41091,41093,182,2
"4148353",3,7732,15423,763,4
"4148496",6,47346,126243,184,2
"4148914",1,33456,64850,952,4
"4149686",16,224036,684571,145,2
"4150874",2,43718,152858,335,1
"4155121",33,415152,935045,336,1
"4155419",3,45711,182286,152,2
"4155625",15,242743,699179,233,1
"4156655",6,34246,59528,324,1
"4157419",88,1418984,2930008,68,2
"4158506",2,55031,136741,877,4
"4161362",1,54838,181717,959,4
"4165194",1,5042,5042,971,4
"4168137",1,19204,71412,545,3
"4169053",2,16889,92613,685,3
"4169995",18,205872,462080,208,1
"4170150",22,281371,1142049,333,1
"4170935",43,304419,1406392,84,2
"4171376",3,71178,203218,529,3
"4172021",8,41654,90742,438,1
"4172075",3,110095,299370,255,1
"4172407",4,27466,55932,929,4
"4175188",1,19204,71412,616,3
"4175252",1,24942,92429,261,1
"4176536",8,73412,144215,263,1
"4179169",2,24450,97135,847,4
"4179933",1,2244,4032,1012,4
"4181538",16,167459,675983,151,2
"4183140",1,2403,25966,917,4
"4190956",3,182680,650394,628,3
"4193348",102,1882712,4506647,109,2
"4193487",13,263402,777475,52,2
"4194047",1,1499,2933,711,3
"4195047",1,12352,12353,363,1
"4200495",2,121432,491904,431,1
"4200638",1,114416,335568,574,3
"4201220",2,57795,246008,110,2
"4201290",3,22081,22084,305,1
"4201582",1,38386,127446,571,3
"4205356",6,134784,262483,125,2
"4206724",214,4632420,15126599,37,2
"4207648",3,7894,11353,679,3
"4207665",1,71108,150052,343,1
"4208946",71,2151292,6761638,88,2
"4209136",1,17356,21396,977,4
"4209321",3,22597,64899,178,2
"4211688",2,20672,20672,849,4
"4212949",5,173900,399787,257,1
"4213751",1,9243,9244,784,4
"4215198",9,105270,338469,63,2
"4215684",15,166673,510749,231,1
"4219984",2,58590,95180,164,2
"4230644",3,57614,283204,1012,4
"4231124",28,823653,3739491,481,3
"4235544",3,147765,326856,864,4
"4236341",18,218189,683492,627,3
"4239573",25,988073,2339745,481,3
"4240109",3,131871,354018,878,4
"4240113",1,8243,18182,168,2
"4241787",4,35788,80924,185,2
"4242213",4,119206,342850,104,2
"4243592",6,59976,60590,319,1
"4245976",8,57721,222817,756,3
"4246824",2,27646,104436,999,4
"4247553",4,88024,316050,847,4
"4250183",32,472624,1360757,48,2
"4250895",8,237022,812183,88,2
"4252572",17,95026,332690,590,3
"4254833",68,835061,1776641,529,3
"4256943",4,75588,134289,415,1
"4257045",15,365952,862557,70,2
"4258616",6,67656,199387,685,3
"4258906",4,18731,28226,472,3
"4259451",20,2066776,7328778,114,2
"4259928",5,320938,926314,499,3
"4260693",15,541584,1494419,234,1
"4263245",4,59526,185050,74,2
"4263362",16,80166,276975,541,3
"4264040",180,3728286,8759560,35,2
"4266614",3,169917,411704,217,1
"4266743",2,76404,295212,966,4
"4267704",39,745759,1823839,161,2
"4268355",2,7241,11067,1005,4
"4271388",1,8080,32667,849,4
"4272926",4,6856,13765,229,1
"4274400",1,46966,177464,674,3
"4275069",15,319052,631628,139,2
"4276572",3,38462,77264,924,4
"4284843",5,71456,253393,188,2
"4286780",1,10922,10924,815,4
"4289387",7,97587,427436,334,1
"4290336",7,47311,149848,962,4
"4290394",1,18944,84025,301,1
"4290510",1,36602,59471,593,3
"4290830",6,263761,770298,95,2
"4291184",1,198414,1143414,679,3
"4291325",3,129888,608672,934,4
"4291459",1,42942,181496,417,1
"4293162",5,82839,321396,299,1
"4294836",1,68938,193598,328,1
"4295113",2,477443,1933189,581,3
"4296474",3,54044,91105,475,3
"4297213",1,5479,10021,770,4
"4298877",3,15518,32125,657,3
"4298919",1,5224,24650,712,3
"4299465",2,17142,17143,712,3
"4299702",1,16698,100672,810,4
"4299936",26,1074651,3488546,98,2
"4300286",1,11764,11765,908,4
"4301892",1,13810,53780,691,3
"4306680",2,25010,75134,788,4
"4306753",1,27228,137496,867,4
"4308255",1,5885,29370,325,1
"4308354",16,254027,688347,54,2
"4309380",4,13760,40188,622,3
"4310278",41,1793909,4448396,101,2
"4310320",8,104940,443597,873,4
"4310390",2,43248,155294,835,4
"4311332",4,24102,25293,894,4
"4313107",1,2670,5042,158,2
"4313786",2,89196,179993,973,4
"4315311",3,25068,52124,983,4
"4315495",13,160479,370788,137,2
"4318663",7,31140,34615,728,3
"4319684",3,37543,41427,950,4
"4320282",1,29395,84698,348,1
"4321437",2,15225,28395,704,3
"4321906",1,29440,60658,545,3
"4322452",4,233905,541474,49,2
"4322774",1,7248,10822,739,3
"4324564",1,1884,5008,283,1
"4325037",1,37888,168050,259,1
"4329862",6,63251,136403,733,3
"4330127",5,71639,296275,375,1
"4335359",4,86092,149517,80,2
"4339511",8,239242,620295,152,2
"4340129",1,116340,241984,349,1
"4340401",4,25518,108478,941,4
"4341288",23,307436,1023978,642,3
"4346220",8,73025,223731,234,1
"4347012",4,480441,1508551,125,2
"4347118",1,6527,10387,713,3
"4347189",1,35122,76985,605,3
"4348772",1,5276,9000,671,3
"4349039",5,200253,538295,277,1
"4351479",5,105476,298919,521,3
"4352018",1,28499,175000,732,3
"4353315",7,102870,199367,915,4
"4353891",2,157392,396000,207,1
"4353900",2,22225,61757,271,1
"4354456",6,213890,538992,294,1
"4355328",2,2303,3805,840,4
"4355519",2,36286,135968,952,4
"4356874",2,19211,94866,906,4
"4358474",2,80374,173295,63,2
"4358647",1,59968,227808,817,4
"4358721",6,222892,636859,809,4
"4359056",3,93956,194516,926,4
"4359475",4,95681,376733,660,3
"4362386",2,35784,88824,891,4
"4362570",2,207942,669474,921,4
"4363971",1,974,2513,689,3
"4370264",1,24919,39176,816,4
"4371831",4,59006,128878,873,4
"4373081",1,5885,8985,1003,4
"4373175",8,58228,188872,145,2
"4373502",2,37414,168050,24,2
"4376194",10,68539,164223,174,2
"4376322",1,34992,134116,955,4
"4376881",4,175609,626682,810,4
"4377248",1,13865,13866,1018,4
"4377676",2,19198,107281,319,1
"4377677",2,16651,25994,999,4
"4379728",2,38653,38656,796,4
"4381990",2,6655,14156,306,1
"4382748",3,56005,213798,501,3
"4383127",1,7285,11102,754,3
"4384001",2,21343,21344,963,4
"4385075",1,2552,3832,868,4
"4386618",13,167709,541007,201,2
