"","BUS","CAMION","CHASIS CABINADO","MINIBUS","REMOLQUE","SEMIREMOLQUE","TAXIBUS","TRACTOCAMION","cluster"
"87803800",0,0.9,0.03,0.05,0,0,0,0.03,1
"93933000",0,1,0,0,0,0,0,0,1
"77476010",0,0.05,0.1,0,0.15,0.36,0,0.33,2
"76787995",0,0.74,0.03,0,0.03,0.13,0,0.08,1
"76163620",0,0.21,0,0,0.03,0.54,0,0.23,2
"76031431",0.69,0.08,0.03,0.21,0,0,0,0,3
"76117389",0,0.13,0,0,0,0.49,0,0.38,2
"60506000",0.26,0.28,0,0.46,0,0,0,0,7
"7020655",0.08,0.08,0.18,0.03,0.18,0.23,0,0.23,2
"6677750",0.77,0.1,0,0,0,0.08,0.03,0.03,3
"4809155",0.56,0.13,0,0.1,0,0.1,0,0.1,3
"6436536",0,0.05,0,0,0,0.46,0,0.49,2
"77858650",0,0.11,0,0,0,0.53,0,0.37,2
"96953700",0,0.53,0,0.11,0.03,0.21,0,0.13,1
"79923160",0,0.29,0.05,0,0.03,0.39,0,0.24,2
"78206080",0.05,0.58,0.11,0.03,0,0.18,0,0.05,1
"99526550",0,0.03,0.03,0,0.21,0.5,0,0.24,2
"77636960",0,0.08,0.05,0,0.18,0.29,0,0.39,2
"76547550",0,0.16,0.05,0,0.05,0.39,0,0.34,2
"76184671",0,0.08,0.03,0,0.05,0.39,0,0.45,2
"76125278",0.08,0.13,0.16,0.03,0.21,0.24,0,0.16,2
"69210100",0.18,0.53,0.03,0.24,0.03,0,0,0,1
"10002106",0.03,0.26,0.08,0.03,0,0.32,0,0.29,2
"78837550",0,0.19,0.05,0,0.22,0.3,0,0.24,2
"79740770",0.03,0.03,0,0,0,0.57,0,0.38,2
"76980990",0,0.76,0.03,0.08,0,0.05,0,0.08,1
"96724760",0,0.14,0.03,0.05,0.08,0.46,0,0.24,2
"88147600",0,0.62,0,0,0.03,0.22,0,0.14,1
"96942440",0,0.81,0.14,0,0,0.05,0,0,1
"99577200",0.03,0.35,0.03,0.08,0.14,0.19,0,0.19,2
"76556530",0.03,0.41,0.08,0.03,0.14,0.08,0,0.24,1
"76243865",0,0.46,0.08,0.03,0.08,0.24,0,0.11,1
"76168882",0.08,0.49,0.03,0.03,0,0.3,0,0.08,1
"76141541",0.08,0.51,0.08,0,0,0.22,0,0.11,1
"69060900",0.08,0.86,0,0.03,0.03,0,0,0,1
"78386350",0.03,0.61,0.08,0,0.06,0.19,0,0.03,1
"79745280",0,0.06,0.03,0,0,0.42,0,0.5,2
"77981330",0,0.58,0,0,0.11,0.19,0,0.11,1
"96722440",0,0.64,0.08,0,0.08,0.14,0,0.06,1
"79918630",0,0.19,0.14,0.03,0.33,0.14,0,0.17,4
"76053911",0.03,0.31,0.06,0.03,0,0.36,0,0.22,2
"61101037",0.17,0.53,0.03,0.06,0.08,0.11,0,0.03,1
"6504070",0,0.06,0,0,0,0.69,0,0.25,2
"5620408",0,0.03,0,0,0.03,0.64,0,0.31,2
"77119000",0,0.57,0.03,0,0.11,0.26,0,0.03,1
"79740840",0,0.34,0.14,0,0.09,0.23,0,0.2,2
"77035510",0,0.54,0.06,0,0.03,0.23,0,0.14,1
"96704190",0.03,0.29,0.03,0,0,0.06,0,0.6,6
"76499730",0,0.51,0.09,0,0,0.26,0,0.14,1
"76041070",0,0.14,0.26,0,0,0.31,0,0.29,2
"76046114",0,0.23,0,0,0.23,0.37,0,0.17,2
"76081051",0,0.11,0.14,0,0,0.26,0,0.49,2
"76171350",0,0.37,0.03,0.09,0,0.23,0,0.29,2
"69261400",0.29,0.46,0,0.23,0.03,0,0,0,1
"8188296",0,0,0,0,0,0.57,0,0.43,2
"79810580",0,0.03,0.03,0,0.09,0.5,0,0.35,2
"78781590",0,0.09,0,0,0,0.65,0,0.26,2
"77707450",0,0.26,0.18,0.03,0.24,0.21,0,0.09,4
"81094100",0,0.62,0.09,0,0,0.15,0,0.15,1
"77408280",0,0.12,0,0,0.06,0.41,0,0.41,2
"83407700",0.09,0.65,0.03,0,0,0.15,0,0.09,1
"78051890",0.03,0.47,0.09,0.09,0,0.18,0,0.15,1
"78782700",0,0,0,0.03,0,0.76,0,0.21,2
"77924670",0,0.15,0,0,0,0.18,0,0.68,6
"77555640",0.06,0.5,0.12,0,0,0.18,0,0.15,1
"77940330",0,0.06,0,0,0.06,0.38,0,0.5,2
"76361920",0,0.03,0.03,0,0.06,0.56,0,0.32,2
"76401550",0,0.12,0.03,0,0,0.5,0,0.35,2
"76636300",0.03,0.74,0.09,0,0.03,0.06,0,0.06,1
"76016236",0,0.09,0.03,0.03,0.06,0.5,0,0.29,2
"76100405",0,0,0.03,0,0,0.35,0,0.62,2
"76129826",0.03,0.56,0,0.09,0,0.26,0,0.06,1
"76072020",0,0.15,0,0,0.03,0.44,0,0.38,2
"76041427",0,0.06,0,0,0,0.56,0,0.38,2
"76178493",0,0.29,0.09,0.03,0,0,0,0.59,6
"76093123",0,0.62,0,0.03,0,0.15,0,0.21,1
"12621344",0,0,0,0,0.06,0.59,0,0.35,2
"83385600",0,0.64,0,0.06,0,0.21,0,0.09,1
"78831690",0,0.03,0,0,0.03,0.67,0,0.27,2
"77545580",0,0.79,0.03,0.03,0,0.12,0,0.03,1
"79853450",0,0.12,0.27,0.03,0.27,0.15,0,0.15,5
"93546000",0,0.73,0.03,0,0,0.24,0,0,1
"79646200",1,0,0,0,0,0,0,0,3
"77117150",0,0.15,0.03,0,0.24,0.3,0,0.27,2
"78021540",0,0.06,0,0,0.06,0.48,0,0.39,2
"79993140",0,0.3,0,0,0.3,0.18,0,0.21,4
"76646820",0.03,0.42,0.06,0.15,0,0.15,0,0.18,1
"76344130",0,0,0,0,0,0.61,0,0.39,2
"76251380",0.27,0.06,0.06,0.03,0,0.3,0,0.27,2
"76058359",0,0.61,0.06,0,0.3,0,0,0.03,4
"76069143",0,0.09,0.09,0,0,0.52,0,0.3,2
"76280893",0,0.58,0,0,0,0.09,0,0.33,1
"76113722",0,0.36,0,0.06,0.15,0.3,0,0.12,2
"76119200",0,0.15,0.03,0.03,0,0.42,0,0.36,2
"60910000",0.42,0.03,0,0.52,0.03,0,0,0,7
"9174006",0,0.03,0,0,0,0.42,0,0.55,2
"77621730",0,0.41,0.03,0,0.31,0.13,0,0.13,4
"79905010",0,0.03,0,0,0,0.59,0,0.38,2
"96782800",0,0.06,0,0,0,0.47,0,0.47,2
"77652940",0.09,0.53,0.03,0,0.09,0.13,0,0.13,1
"77609920",0.03,0.28,0.13,0,0.28,0.16,0,0.13,4
"77405050",0,0.56,0.03,0.03,0.06,0.31,0,0,1
"88975900",0,0.5,0.25,0,0.13,0.09,0,0.03,5
"88066600",0,0.5,0,0,0.19,0.16,0,0.16,1
"77412510",0,0.13,0.03,0,0.16,0.41,0,0.28,2
"77676280",0,0.03,0,0,0.13,0.75,0,0.09,2
"78634350",0,0.38,0.16,0.03,0.41,0,0,0.03,4
"78794710",0,0.03,0,0,0.03,0.56,0,0.38,2
"78917880",0,0.19,0,0,0.16,0.38,0,0.28,2
"77547420",0,0.06,0,0,0.06,0.5,0,0.38,2
"77480740",0,0,0,0,0,0.69,0,0.31,2
"78023530",0,0.38,0.28,0.03,0.19,0.09,0,0.03,5
"76781840",0,0.06,0,0,0,0.41,0,0.53,2
"76097673",0.03,0.19,0.03,0,0.03,0.31,0,0.41,2
"76192781",0,0.66,0,0.03,0.03,0.19,0,0.09,1
"76054565",0.03,0.5,0.03,0,0,0.28,0,0.16,2
"76349975",0.03,0.44,0,0,0,0.25,0,0.28,2
"8939752",0,0.28,0.03,0.03,0,0.38,0,0.28,2
"9530253",0,0.38,0,0,0.13,0.31,0,0.19,2
"6959023",0,0,0,0,0,0.5,0,0.5,2
"4911327",0,0.25,0.09,0,0.03,0.28,0,0.34,2
"6202294",0,0.47,0.09,0,0.44,0,0,0,4
"77638760",0,0.61,0.03,0,0,0.23,0,0.13,1
"96773060",0,0.77,0.06,0,0.1,0.03,0,0.03,1
"77775300",0.06,0.65,0.06,0.03,0,0.13,0,0.06,1
"77275690",0,0.45,0,0,0.06,0.26,0,0.23,2
"77775020",0,0.03,0,0,0,0.58,0,0.39,2
"81906800",0.68,0,0,0.32,0,0,0,0,3
"78447840",0,0,0,0,0,0.39,0,0.61,2
"80935000",0,0.55,0.1,0,0.19,0.06,0,0.1,1
"96755590",0,0.87,0.1,0,0.03,0,0,0,1
"79829180",0,0,0,0,0,0.42,0,0.58,2
"77724130",0.03,0.61,0,0.06,0.06,0.1,0,0.13,1
"79939420",0,0,0,0,0,0.42,0,0.58,2
"76749040",0,0.13,0,0,0.1,0.39,0,0.39,2
"76528030",0.55,0.32,0.03,0.1,0,0,0,0,3
"76057560",0,0.26,0.06,0,0.19,0.29,0,0.19,2
"76053799",0,0.19,0,0,0,0.45,0,0.35,2
"76184960",0,0.23,0,0,0,0.32,0,0.45,2
"69200800",0.19,0.52,0,0.16,0.13,0,0,0,1
"8016977",0,0.48,0,0,0.1,0.26,0,0.16,1
"4116008",0,0.13,0,0,0.06,0.35,0,0.45,2
"96688340",0,0.67,0.03,0.03,0.03,0.17,0,0.07,1
"78867360",1,0,0,0,0,0,0,0,3
"96708670",0,0.57,0,0,0.13,0.23,0,0.07,1
"77309550",0,0.23,0.23,0,0.4,0.03,0,0.1,4
"79527230",0.03,0.6,0.03,0.03,0,0.2,0,0.1,1
"79626800",0,0.5,0.07,0,0.03,0.23,0,0.17,1
"78297220",0,0.03,0,0,0,0.6,0,0.37,2
"77573560",0.03,0.57,0.03,0.03,0,0.2,0,0.13,1
"96729820",0,0.77,0.03,0,0.2,0,0,0,1
"91489000",0,0.33,0,0.03,0.07,0.4,0,0.17,2
"78993410",0,0,0.53,0,0.3,0.1,0,0.07,5
"92562000",0,0.57,0,0.07,0.03,0.13,0,0.2,1
"77763210",0,0.43,0.1,0,0,0.33,0,0.13,2
"78184320",0,0.37,0.1,0,0.27,0.07,0,0.2,4
"96545450",0.13,0.63,0.1,0,0,0,0,0.13,1
"76416670",0,0.03,0,0,0.03,0.53,0,0.4,2
"76446220",0,0.6,0.07,0,0,0.17,0,0.17,1
"76681773",0,0.13,0,0,0.1,0.37,0,0.4,2
"76187864",0,0.23,0.17,0.03,0,0.33,0,0.23,2
"76035233",0,0.17,0.13,0,0.27,0.2,0,0.23,4
"76250221",0,0.53,0.07,0,0,0.03,0,0.37,1
"76146510",0,0,0,0,0,0.57,0,0.43,2
"76276860",0,0.73,0.2,0.03,0,0,0,0.03,1
"76119879",0.07,0.63,0.1,0.03,0.03,0.07,0,0.07,1
"69200100",0.17,0.47,0.03,0.33,0,0,0,0,1
"61104000",0.27,0.37,0,0.27,0,0.07,0,0.03,1
"69071700",0.2,0.4,0,0.33,0.03,0.03,0,0,1
"5119587",0,0.07,0,0,0,0.7,0,0.23,2
"78451570",0,0.07,0,0,0,0.38,0,0.55,2
"79979240",0,0.28,0.21,0.03,0.31,0.07,0,0.1,4
"77138810",0.03,0.07,0.03,0,0.03,0.52,0,0.31,2
"88819000",0,0.21,0.03,0.03,0.21,0.24,0,0.28,2
"77320970",0,0.55,0.07,0,0.38,0,0,0,4
"77626450",1,0,0,0,0,0,0,0,3
"77873600",0,0,0,0,0.03,0.41,0,0.55,2
"84730900",0,0.21,0.03,0,0,0.52,0,0.24,2
"99536660",0.03,0.55,0.1,0.03,0.03,0.17,0,0.07,1
"96734130",0,0.03,0.03,0,0.03,0.38,0,0.52,2
"96709430",0.66,0,0.03,0.14,0,0.1,0,0.07,3
"76067447",0,0.31,0.1,0,0.07,0.34,0,0.17,2
"76072221",0,0.41,0.31,0.07,0,0.1,0,0.1,5
"76188411",0,0,0,0,0,0.62,0,0.38,2
"76062976",0,0.17,0.1,0,0.07,0.34,0,0.31,2
"69040700",0.28,0.34,0,0.31,0,0.03,0,0.03,1
"69041100",0.34,0.28,0.03,0.31,0.03,0,0,0,1
